Source;Target;Type
25388;239085;Undirected
26482;182183;Undirected
27071;105389;Undirected
27071;105389;Undirected
27071;248120;Undirected
27071;167467;Undirected
27071;167467;Undirected
27071;167467;Undirected
27071;105389;Undirected
27071;105389;Undirected
27071;167467;Undirected
28131;32327;Undirected
28131;32327;Undirected
28131;32327;Undirected
28131;32327;Undirected
28131;32327;Undirected
28131;32327;Undirected
28131;32327;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30008;30010;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;30147;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;30147;Undirected
30010;30147;Undirected
30010;219347;Undirected
30010;219347;Undirected
30010;219347;Undirected
30147;241459;Undirected
30161;416357;Undirected
30161;416357;Undirected
30161;235527;Undirected
30161;30162;Undirected
30161;416357;Undirected
30161;30162;Undirected
30161;416357;Undirected
30161;416357;Undirected
30161;416357;Undirected
30161;416357;Undirected
30161;30162;Undirected
30161;416357;Undirected
30161;268600;Undirected
30161;268600;Undirected
30161;30162;Undirected
30161;268600;Undirected
30161;268600;Undirected
30161;30162;Undirected
30161;416357;Undirected
30161;416357;Undirected
30161;30162;Undirected
30162;416357;Undirected
30162;268600;Undirected
30162;416357;Undirected
30162;268600;Undirected
30162;416357;Undirected
30162;416357;Undirected
30162;268600;Undirected
30162;268600;Undirected
30162;416357;Undirected
30162;268600;Undirected
30162;268600;Undirected
30162;416357;Undirected
31187;118202;Undirected
32327;44922;Undirected
32327;146629;Undirected
32327;146629;Undirected
